,result idx,result mask idx,comparison result idx,comparison result mask idx
0,0,0,1,0
1,0,0,2,0
2,0,0,3,0
3,0,0,4,0
4,1,0,2,0
5,1,0,3,0
6,1,0,4,0
7,2,0,3,0
8,2,0,4,0
9,3,0,4,0
10,5,0,6,0
11,5,0,7,0
12,5,0,8,0
13,5,0,9,0
14,5,0,10,1
15,6,0,7,0
16,6,0,8,0
17,6,0,9,0
18,6,0,10,1
19,7,0,8,0
20,7,0,9,0
21,7,0,10,1
22,8,0,9,0
23,8,0,10,1
24,9,0,10,1
25,10,0,11,0
26,10,0,13,0
27,10,0,14,0
28,10,0,15,1
29,11,0,13,0
30,11,0,14,0
31,11,0,15,1
32,12,0,15,1
33,13,0,14,0
34,13,0,15,1
35,14,0,15,1
36,15,0,18,0
37,16,0,18,0
38,16,0,20,1
39,16,1,18,0
40,16,1,20,1
41,16,2,20,1
42,18,0,20,1
43,20,0,21,0
44,20,0,22,0
45,20,0,23,0
46,20,0,24,0
47,20,0,25,1
48,21,0,22,0
49,21,0,23,0
50,21,0,24,0
51,21,0,25,1
52,22,0,23,0
53,22,0,24,0
54,23,0,24,0
55,25,0,26,0
56,25,0,27,0
57,25,0,28,0
58,25,0,29,0
59,25,0,30,0
60,26,0,27,0
61,26,0,28,0
62,26,0,29,0
63,26,0,30,0
64,27,0,28,0
65,27,0,29,0
66,27,0,30,0
67,28,0,29,0
68,28,0,30,0
69,29,0,30,0
70,29,1,30,1
71,29,1,31,0
72,29,1,32,0
73,29,1,33,0
74,29,1,34,0
75,30,1,31,0
76,30,1,32,0
77,30,1,33,0
78,30,1,34,0
79,31,0,32,0
80,31,0,33,0
81,31,0,34,0
82,32,0,33,0
83,32,0,34,0
84,32,1,33,1
85,32,1,39,0
86,32,1,40,0
87,33,0,34,0
88,35,0,36,0
89,35,0,37,0
90,35,0,38,0
91,35,0,39,0
92,35,0,40,0
93,36,0,37,0
94,36,0,38,0
95,36,0,39,0
96,36,0,40,0
97,37,0,38,0
98,37,0,39,0
99,37,0,40,0
100,38,0,39,0
101,38,0,40,0
102,39,0,40,0
103,42,0,43,0
104,42,0,44,0
105,43,0,44,0
106,43,1,44,1
107,43,1,45,0
108,43,1,46,0
109,43,1,48,1
110,44,1,45,0
111,44,1,46,0
112,44,1,48,1
113,45,0,46,0
114,45,0,48,1
115,46,0,48,1
