epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1632,3.20777,4.56391,3.8972,2.8348,0.00167,0.21429,0.00229,0.00048,0.00111,0.14286,0.00135,0.00033,4.35138,4.269,3.84954,3.27126,2e-05,2e-05,2e-05
2,11.4932,3.13865,4.93794,3.61042,2.64804,0.00111,0.14286,0.00121,0.0005,0.00056,0.07143,0.00106,0.00031,4.36457,4.27745,3.90545,3.29891,5.9901e-05,5.9901e-05,5.9901e-05
3,12.9682,3.4329,4.67317,3.65878,2.88199,0.00111,0.14286,0.00122,0.00046,0.00111,0.14286,0.00276,0.00081,4.29128,3.89325,3.64559,3.11188,9.967e-05,9.967e-05,9.967e-05
4,14.3172,2.84798,3.95814,3.43804,2.44918,0.00444,0.57143,0.03776,0.00839,0.00056,0.07143,0.01901,0.0076,3.51971,4.08693,3.44062,2.54461,0.000139307,0.000139307,0.000139307
5,15.6702,2.33953,3.02703,3.00221,2.03998,0.00722,0.92857,0.22251,0.04408,0.00167,0.21429,0.04899,0.00986,2.64576,4.62046,3.17627,2.08107,0.000178812,0.000178812,0.000178812
6,17.0144,2.56718,3.30717,2.89037,2.13489,0.00611,0.78571,0.33825,0.10593,0.00333,0.42857,0.24666,0.05925,2.14197,4.10692,3.16112,2.02946,0.000218185,0.000218185,0.000218185
7,18.3854,2.22111,2.78153,2.53967,1.86837,0.00667,0.85714,0.22733,0.07623,0.00389,0.5,0.26006,0.07848,2.08716,3.15113,3.13824,2.06708,0.000257426,0.000257426,0.000257426
8,21.3603,2.26503,2.87713,2.61542,1.88193,0.00611,0.78571,0.0793,0.02468,0.005,0.64286,0.24584,0.04167,2.07964,2.94213,3.2763,2.20734,0.000296535,0.000296535,0.000296535
9,23.9365,2.39228,3.00247,2.59317,1.96617,0.00611,0.78571,0.06513,0.01815,0.00333,0.42857,0.06433,0.02351,2.20731,2.93743,3.31882,2.31414,0.000335512,0.000335512,0.000335512
10,25.7899,2.14894,2.66886,2.56386,1.83468,0.00611,0.78571,0.08829,0.0225,0.00444,0.57143,0.19802,0.04408,2.2574,2.86778,3.34037,2.25707,0.000374357,0.000374357,0.000374357
11,27.0989,2.14373,2.58588,2.4297,1.80137,0.00611,0.78571,0.05751,0.01605,0.00444,0.57143,0.27525,0.0705,2.39517,2.76617,3.31449,2.12341,0.00041307,0.00041307,0.00041307
12,28.4269,2.09845,2.34546,2.42074,1.77263,0.00611,0.78571,0.05927,0.01734,0.00444,0.57143,0.26556,0.0616,2.54899,2.63878,3.33061,2.20164,0.000451651,0.000451651,0.000451651
13,29.7831,1.89232,2.32347,2.25406,1.66425,0.00556,0.71429,0.0397,0.01388,0.005,0.64286,0.12467,0.03785,2.65472,2.50652,3.44073,2.24469,0.0004901,0.0004901,0.0004901
14,31.0481,2.09508,2.76986,2.43335,1.76873,0.00556,0.71429,0.03672,0.00806,0.005,0.64286,0.18587,0.04613,2.52566,2.39586,3.58288,2.16916,0.000528417,0.000528417,0.000528417
